
9661;51;15;158;river_canal_pharaohs;x;
9662;93;18;31;river_nile;x;
9663;135;21;159;river_nile;x;
9664;177;24;32;river_nile;x;
9665;9;27;160;river_nile;x;
9666;51;30;33;river_nile;x;
9667;93;33;161;river_nile;x;
9668;135;36;34;river_white_nile;x;
9669;177;39;162;river_white_nile;x;
9670;9;42;35;river_white_nile;x;
9671;51;45;163;river_blue_nile;x;
9672;93;48;36;river_blue_nile;x;
9673;135;51;164;river_blue_nile;x;
9674;177;54;37;river_atbara;x;
9675;9;57;165;river_atbara;x;
9676;51;60;38;river_atbara;x;
9677;93;63;166;river_guadalquivir;x;
9678;135;66;39;river_guadiana;x;
9679;177;69;167;river_tajo;x;
9680;9;72;40;river_tajo;x;
9681;51;75;168;river_tajo;x;
9682;93;78;41;river_tajo;x;
9683;135;81;169;river_tajo;x;
9684;177;84;42;river_duero;x;
9685;9;87;170;river_duero;x;
9686;51;90;43;river_duero;x;
9687;93;93;171;river_duero;x;
9688;135;96;44;river_ebro;x;
9689;177;99;172;river_ebro;x;
9690;9;102;45;river_ebro;x;
9691;51;105;173;river_segre;x;
9692;93;108;46;river_dordogne;x;
9693;135;111;174;river_dordogne;x;
9694;177;114;47;river_loire;x;
9695;9;117;175;river_loire;x;
9696;51;120;48;river_loire;x;
9697;93;123;176;river_loire;x;
9698;135;126;49;river_loire;x;
9699;177;129;177;river_vienne;x;
9700;9;132;50;river_vienne;x;
9701;51;135;178;river_seine;x;
9702;93;138;51;river_seine;x;
9703;135;141;179;river_seine;x;
9704;177;144;52;river_yonne;x;
9705;9;147;180;river_marne;x;
9706;51;150;53;river_marne;x;
9707;93;153;181;river_marne;x;
9708;135;156;54;river_marne;x;
9709;177;159;182;river_oise;x;
9710;9;162;55;river_oise;x;
9711;51;165;183;river_oise;x;
9712;93;168;56;river_aisne;x;
9713;135;171;184;river_aisne;x;
9714;177;174;57;river_aisne;x;
9715;9;177;185;river_scheldt;x;
9716;51;180;58;river_scheldt;x;
9717;93;183;186;river_rhone;x;
9718;135;186;59;river_saone;x;
9719;177;189;187;river_durance;x;
9720;9;192;60;river_po;x;
9721;51;195;188;river_po;x;
9722;93;198;61;river_thames;x;
9723;135;201;189;river_severn;x;
9724;177;204;62;river_severn;x;
9725;9;207;190;river_severn;x;
9726;51;210;63;river_avon;x;
9727;93;0;191;river_trent;x;
9728;135;3;64;river_trent;x;
9729;177;6;192;river_trent;x;
9730;9;9;65;river_shannon;x;
9731;51;12;193;river_shannon;x;
9732;93;15;66;river_rhine;x;
9733;135;18;194;river_rhine;x;
9734;177;21;67;river_rhine;x;
9735;9;24;195;river_rhine;x;
9736;51;27;68;river_rhine;x;
9737;93;30;196;river_rhine;x;
9738;135;33;69;river_main;x;
9739;177;36;197;river_main;x;
9740;9;39;70;river_moselle;x;
9741;51;42;198;river_moselle;x;
9742;93;45;71;river_moselle;x;
9743;135;48;199;river_moselle;x;
9744;177;51;72;river_moselle;x;
9745;9;54;200;river_ijssel;x;
9746;51;57;73;river_meuse;x;
9747;93;60;201;river_meuse;x;
9748;135;63;74;river_meuse;x;
9749;177;66;202;river_meuse;x;
9750;9;69;75;river_meuse;x;
9751;51;72;203;river_meuse;x;
9752;93;75;76;river_ems;x;
9753;135;78;204;river_ems;x;
9754;177;81;77;river_ems;x;
9755;9;84;205;river_weser;x;
9756;51;87;78;river_weser;x;
9757;93;90;206;river_weser;x;
9758;135;93;79;river_weser;x;
9759;177;96;207;river_weser;x;
9760;9;99;80;river_elbe;x;
9761;51;102;208;river_elbe;x;
9762;93;105;81;river_elbe;x;
9763;135;108;209;river_saale;x;
9764;177;111;82;river_saale;x;
9765;9;114;210;river_saale;x;
9766;51;117;83;river_havel;x;
9767;93;120;211;river_havel;x;
9768;135;123;84;river_oder;x;
9769;177;126;212;river_oder;x;
9770;9;129;85;river_oder;x;
9771;51;132;213;river_oder;x;
9772;93;135;86;river_oder;x;
9773;135;138;214;river_oder;x;
9774;177;141;87;river_oder;x;
9775;9;144;215;river_oder;x;
9776;51;147;88;river_oder;x;
9777;93;150;216;river_warta;x;
9778;135;153;89;river_notec;x;
9779;177;156;217;river_vistula;x;
9780;9;159;90;river_vistula;x;
9781;51;162;218;river_vistula;x;
9782;93;165;91;river_vistula;x;
9783;135;168;219;river_vistula;x;
9784;177;171;92;river_western_bug;x;
9785;9;174;220;river_western_bug;x;
9786;51;177;93;river_western_bug;x;
9787;93;180;221;river_neman;x;
9788;135;183;94;river_neman;x;
9789;177;186;222;river_neman;x;
9790;9;189;95;river_neman;x;
9791;51;192;223;river_neman;x;
9792;93;195;96;river_vig;x;
9793;135;198;224;river_sukhona;x;
9794;177;201;97;river_sukhona;x;
9795;9;204;225;river_sukhona;x;
9796;51;207;98;lake_kamenskoye;x;
9797;93;210;226;river_southern_bug;x;
9798;135;0;99;river_southern_bug;x;
9799;177;3;227;river_southern_bug;x;
9800;9;6;0;river_southern_bug;x;
9801;51;9;128;river_gota_alv;x;
9802;93;12;1;river_klaralven;x;
9803;135;15;129;river_klaralven;x;
9804;177;18;2;river_motala_strom;x;
9805;9;21;130;river_motala_strom;x;
9806;51;24;3;river_danube;x;
9807;93;27;131;river_danube;x;
9808;135;30;4;river_danube;x;
9809;177;33;132;river_danube;x;
9810;9;36;5;river_danube;x;
9811;51;39;133;river_danube;x;
9812;93;42;6;river_danube;x;
9813;135;45;134;river_danube;x;
9814;177;48;7;river_danube;x;
9815;9;51;135;river_Sio;x;
9816;51;54;8;lake_balaton;x;
9817;93;57;136;river_drava;x;
9818;135;60;9;river_drava;x;
9819;177;63;137;river_mur;x;
9820;9;66;10;river_mur;x;
9821;51;69;138;river_tisa;x;
9822;93;72;11;river_tisa;x;
9823;135;75;139;river_tisa;x;
9824;177;78;12;river_tisa;x;
9825;9;81;140;river_koros;x;
9826;51;84;13;river_koros;x;
9827;93;87;141;river_maros;x;
9828;135;90;14;river_maros;x;
9829;177;93;142;river_sava;x;
9830;9;96;15;river_sava;x;
9831;51;99;143;river_sava;x;
9832;93;102;16;river_sava;x;
9833;135;105;144;river_sava;x;
9834;177;108;17;river_sava;x;
9835;9;111;145;river_sava;x;
9836;51;114;18;river_vedea;x;
9837;93;117;146;river_olt;x;
9838;135;120;19;river_arges;x;
9839;177;123;147;river_arges;x;
9840;9;126;20;river_ialomita;x;
9841;51;129;148;river_ialomita;x;
9842;93;132;21;river_siret;x;
9843;135;135;149;river_siret;x;
9844;177;138;22;river_prut;x;
9845;9;141;150;river_prut;x;
9846;51;144;23;river_tigris;x;
9847;93;147;151;river_tigris;x;
9848;135;150;24;river_tigris;x;
9849;177;153;152;river_tigris;x;
9850;9;156;25;river_tigris;x;
9851;51;159;153;river_tigris;x;
9852;93;162;26;river_tigris;x;
9853;135;165;154;river_diyala;x;
9854;177;168;27;river_diyala;x;
9855;9;171;155;river_euphrates;x;
9856;51;174;28;river_euphrates;x;
9857;93;177;156;river_euphrates;x;
9858;135;180;29;river_euphrates;x;
9859;177;183;157;river_euphrates;x;
9860;9;186;30;river_euphrates;x;
9861;51;189;158;river_euphrates;x;
9862;93;192;31;river_euphrates;x;
9863;135;195;159;river_khabur;x;
9864;177;198;32;river_khabur;x;
9865;9;201;160;river_khabur;x;
9866;51;204;33;river_karun;x;
9867;93;207;161;river_karun;x;
9868;135;210;34;river_karun;x;
9869;177;0;162;river_kura;x;
9870;9;3;35;river_kura;x;
9871;51;6;163;river_kura;x;
9872;93;9;36;river_kura;x;
9873;135;12;164;river_aras;x;
9874;177;15;37;river_aras;x;
9875;9;18;165;lake_mingachevir;x;
9876;51;21;38;river_ural;x;
9877;93;24;166;river_ural;x;
9878;135;27;39;river_ural;x;
9879;177;30;167;river_ural;x;
9880;9;33;40;river_ural;x;
9881;51;36;168;river_uzboy;x;
9882;93;39;41;river_uzboy;x;
9883;135;42;169;river_uzboy;x;
9884;177;45;42;river_amu_darya;x;
9885;9;48;170;river_amu_darya;x;
9886;51;51;43;river_amu_darya;x;
9887;93;54;171;river_amu_darya;x;
9888;135;57;44;river_amu_darya;x;
9889;177;60;172;river_amu_darya;x;
9890;9;63;45;river_amu_darya;x;
9891;51;66;173;river_amu_darya;x;
9892;93;69;46;river_amu_darya;x;
9893;135;72;174;river_amu_darya;x;
9894;177;75;47;river_amu_darya;x;
9895;9;78;175;river_syr_darya;x;
9896;51;81;48;river_syr_darya;x;
9897;93;84;176;river_syr_darya;x;
9898;135;87;49;river_syr_darya;x;
9899;177;90;177;river_syr_darya;x;
9900;9;93;50;lake_chardara;x;
9901;51;96;178;river_syr_darya;x;
9902;93;99;51;lake_toktogul;x;
9903;135;102;179;river_indus;x;
9904;177;105;52;river_chenab;x;
9905;9;108;180;river_chenab;x;
9906;51;111;53;river_chenab;x;
9907;93;114;181;river_chenab;x;
9908;135;117;54;river_sabarmati;x;
9909;177;120;182;river_sabarmati;x;
9910;9;123;55;river_mahi;x;
9911;51;126;183;river_mahi;x;
9912;93;129;56;river_mahi;x;
9913;135;132;184;river_narmada;x;
9914;177;135;57;river_narmada;x;
9915;9;138;185;river_narmada;x;
9916;51;141;58;river_narmada;x;
9917;93;144;186;river_narmada;x;
9918;135;147;59;river_narmada;x;
9919;177;150;187;river_tapti;x;
9920;9;153;60;river_ponnaiyar;x;
9921;51;156;188;river_palar;x;
9922;93;159;61;river_penna;x;
9923;135;162;189;river_penna;x;
9924;177;165;62;river_penna;x;
9925;9;168;190;river_krishna;x;
9926;51;171;63;river_krishna;x;
9927;93;174;191;river_krishna;x;
9928;135;177;64;river_krishna;x;
9929;177;180;192;river_krishna;x;
9930;9;183;65;river_krishna;x;
